keys,en,es,pt_BR,fr,de,ru,tr,id,ja,ko
UI_PLAY,PLAY,JUGAR,JOGAR,JOUER,SPIELEN,ИГРАТЬ,OYNA,MAIN,プレイ,플레이
UI_PLAY_AGAIN,PLAY AGAIN,JUGAR OTRA VEZ,JOGAR DE NOVO,REJOUER,NOCHMAL,ЕЩЁ РАЗ,TEKRAR OYNA,MAIN LAGI,もう一度,다시 하기
UI_SETTINGS,SETTINGS,AJUSTES,AJUSTES,RÉGLAGES,EINSTELLUNGEN,НАСТРОЙКИ,AYARLAR,PENGATURAN,設定,설정
UI_MENU,MENU,MENÚ,MENU,MENU,MENÜ,МЕНЮ,MENÜ,MENU,メニュー,메뉴
UI_BACK,BACK,ATRÁS,VOLTAR,RETOUR,ZURÜCK,НАЗАД,GERİ,KEMBALI,戻る,뒤로
UI_SHARE,SHARE,COMPARTIR,COMPARTILHAR,PARTAGER,TEILEN,ПОДЕЛИТЬСЯ,PAYLAŞ,BAGIKAN,シェア,공유
UI_YOUR_NAME,YOUR NAME,TU NOMBRE,SEU NOME,VOTRE NOM,DEIN NAME,ВАШЕ ИМЯ,ADINIZ,NAMA KAMU,なまえ,이름
UI_TAGLINE,Hold to attract · Release to repel,Mantén para atraer · Suelta para repeler,Segure para atrair · Solte para repelir,Maintenez pour attirer · Relâchez pour repousser,Halten zum Anziehen · Loslassen zum Abstoßen,Держи — притягивай · Отпусти — отталкивай,Çekmek için basılı tut · İtmek için bırak,Tahan untuk menarik · Lepas untuk menolak,長押しで引き寄せ・離して反発,누르면 끌어당기고 · 떼면 밀어내기
UI_HINT_TOUCH,Hold to attract · Release to repel,Mantén para atraer · Suelta para repeler,Segure para atrair · Solte para repelir,Maintenez pour attirer · Relâchez pour repousser,Halten zum Anziehen · Loslassen zum Abstoßen,Держи — притягивай · Отпусти — отталкивай,Çekmek için basılı tut · İtmek için bırak,Tahan untuk menarik · Lepas untuk menolak,長押しで引き寄せ・離して反発,누르면 끌어당기고 · 떼면 밀어내기
UI_HINT_DESKTOP,Hold mouse · Release to repel · WASD to steer,Mantén el ratón · Suelta para repeler · WASD para mover,Segure o mouse · Solte para repelir · WASD para mover,Maintenez la souris · Relâchez pour repousser · WASD pour diriger,Maus halten · Loslassen zum Abstoßen · WASD zum Lenken,Держи мышь · Отпусти — отталкивай · WASD — движение,Fareyi basılı tut · İtmek için bırak · WASD ile yönlen,Tahan mouse · Lepas untuk menolak · WASD untuk bergerak,マウス長押し・離して反発・WASDで移動,마우스 누르기 · 떼면 밀어내기 · WASD로 이동
UI_ALIVE,%d ALIVE,%d VIVOS,%d VIVOS,%d EN VIE,%d ÜBRIG,ОСТАЛОСЬ %d,%d HAYATTA,%d HIDUP,残り %d,%d명 생존
UI_GO,GO,¡YA!,VAI,PARTEZ,LOS,СТАРТ,BAŞLA,MULAI,スタート,시작
UI_SUDDEN_DEATH,SUDDEN DEATH,MUERTE SÚBITA,MORTE SÚBITA,MORT SUBITE,SUDDEN DEATH,ВНЕЗАПНАЯ СМЕРТЬ,ANİ ÖLÜM,SUDDEN DEATH,サドンデス,서든데스
UI_OUT_OF_RING,GET BACK IN THE RING,¡VUELVE AL RING!,VOLTE PARA A ARENA,RETOURNEZ DANS L'ARÈNE,ZURÜCK IN DIE ARENA,ВЕРНИСЬ В КРУГ,RİNGE GERİ DÖN,KEMBALI KE ARENA,リングに戻れ,링으로 돌아가
UI_VICTORY,VICTORY,¡VICTORIA!,VITÓRIA,VICTOIRE,SIEG,ПОБЕДА,ZAFER,MENANG,勝利,승리
UI_PLACED,PLACED,PUESTO,COLOCAÇÃO,CLASSEMENT,PLATZ,МЕСТО,SIRALAMA,PERINGKAT,順位,순위
UI_PLACEMENT_OF,#%d of %d,#%d de %d,#%d de %d,#%d sur %d,#%d von %d,#%d из %d,%d / %d,#%d dari %d,%d / %d 位,%d / %d 위
UI_MASS,MASS,MASA,MASSA,MASSE,MASSE,МАССА,KÜTLE,MASSA,質量,질량
UI_ELIMINATIONS,ELIMINATIONS,ELIMINACIONES,ELIMINAÇÕES,ÉLIMINATIONS,AUSSCHALTUNGEN,УСТРАНЕНО,ELEME,ELIMINASI,撃破数,처치
UI_SURVIVED,SURVIVED,SOBREVIVIDO,SOBREVIVEU,SURVIE,ÜBERLEBT,ПРОДЕРЖАЛСЯ,HAYATTA KALMA,BERTAHAN,生存時間,생존 시간
UI_COINS,COINS,MONEDAS,MOEDAS,PIÈCES,MÜNZEN,МОНЕТЫ,ALTIN,KOIN,コイン,코인
UI_GEMS,GEMS,GEMAS,GEMAS,GEMMES,EDELSTEINE,КРИСТАЛЛЫ,ELMAS,PERMATA,ジェム,젬
UI_XP,XP,XP,XP,XP,EP,ОПЫТ,XP,XP,XP,경험치
UI_LEVEL_SHORT,LV %d,NV %d,NV %d,NIV %d,LV %d,УР %d,SV %d,LV %d,Lv %d,LV %d
UI_WALLET,LV %d   ·   %s COINS   ·   BEST #%s,NV %d   ·   %s MONEDAS   ·   MEJOR #%s,NV %d   ·   %s MOEDAS   ·   MELHOR #%s,NIV %d   ·   %s PIÈCES   ·   MEILLEUR #%s,LV %d   ·   %s MÜNZEN   ·   BESTE #%s,УР %d   ·   %s МОНЕТ   ·   ЛУЧШЕЕ #%s,SV %d   ·   %s ALTIN   ·   EN İYİ #%s,LV %d   ·   %s KOIN   ·   TERBAIK #%s,Lv %d   ·   %s コイン   ·   最高 #%s,LV %d   ·   %s 코인   ·   최고 #%s
UI_FEED_KILL,%s eliminated %s,%s eliminó a %s,%s eliminou %s,%s a éliminé %s,%s hat %s ausgeschaltet,%s устранил %s,%s oyuncusunu eledi: %s,%s mengeliminasi %s,%s が %s を撃破,%s 이(가) %s 처치
UI_FEED_DEATH,%s was eliminated,%s fue eliminado,%s foi eliminado,%s a été éliminé,%s wurde ausgeschaltet,%s устранён,%s elendi,%s tereliminasi,%s が脱落,%s 탈락
UI_COPIED,COPIED TO CLIPBOARD,COPIADO AL PORTAPAPELES,COPIADO PARA A ÁREA DE TRANSFERÊNCIA,COPIÉ DANS LE PRESSE-PAPIERS,IN DIE ZWISCHENABLAGE KOPIERT,СКОПИРОВАНО В БУФЕР,PANOYA KOPYALANDI,DISALIN KE PAPAN KLIP,クリップボードにコピーしました,클립보드에 복사됨
